periodo_contable,source_system,movimientos,polizas,prima_neta,prima_emitida,prima_anulada,comision
202508,CO_as400,327096,356,7396150843.349993,9454370701.079994,-2058219857.7299998,855152406.480003
202508,CO_iaxis,3648805,59724,113842355982.0,165819819603.0,-51977463621.0,11512165153.0
202509,CO_as400,330358,385,7734841404.039999,9098184763.05,-1363343359.01,977830541.8300034
202509,CO_iaxis,4373270,57728,112460701757.0,156661561574.0,-44200859817.0,11457375987.0
202510,CO_as400,320781,365,8925072928.589993,10620461226.6,-1695388298.01,992378062.660001
202510,CO_iaxis,4606109,51285,101775526135.0,171448727387.0,-69673201252.0,10229951910.0
202511,CO_as400,321362,340,9271024118.070017,9644107275.650017,-373083157.58,1132620979.910002
202511,CO_iaxis,4469394,50021,113907630045.0,154608178953.0,-40700548908.0,11603744139.0
202512,CO_as400,328247,373,11392047629.050009,11981070360.16001,-589022731.1099999,1552528210.3400025
202512,CO_iaxis,4122627,55776,110118715573.0,155680738533.0,-45562022960.0,11059042306.0
202601,CO_as400,321148,363,9169165524.170004,12113578934.080004,-2944413409.91,1254131424.310002
202601,CO_iaxis,4608908,49574,107193863135.0,13378584495296.0,-13271390632161.0,10558017594.0
202602,CO_as400,315256,331,8564549853.160005,10607290796.070005,-2042740942.91,1065781765.2100021
202602,CO_iaxis,4232277,50864,124277899663.0,166216780088.0,-41938880425.0,12034266771.0
202603,CO_as400,311022,350,10700086064.569986,12323095457.539986,-1623009392.97,2692972967.1399975
202603,CO_iaxis,4238758,67936,123753062679.0,167829391621.0,-44076328942.0,12358489359.0
202604,CO_as400,316484,372,9869174332.880007,11931634549.110012,-2062460216.23,1176709183.5000024
202604,CO_iaxis,4323049,49999,116879538804.0,10353490701000.0,-10236611162196.0,11059229903.0
202605,CO_as400,310526,361,9643952617.46001,10560580553.510012,-916627936.05,2059684517.8300025
202605,CO_iaxis,4427585,47629,118837785798.0,356699996450.0,-237862210652.0,11051883586.0
202606,CO_as400,317335,386,8895637535.410011,11132050059.32001,-2236412523.91,877398656.6100024
202606,CO_iaxis,4355641,52416,135651357686.0,168710386573.0,-33059028887.0,12225885599.0
202607,CO_as400,315650,386,9421301756.19,10635430671.660002,-1214128915.47,1146315160.5100017
202607,CO_iaxis,4694278,56188,128146784781.0,170150643099.0,-42003858318.0,12103076341.0
202608,CO_as400,291815,261,5551105444.289993,5836935914.2999935,-285830470.01,654329441.1400017
202608,CO_iaxis,3333694,28702,72572255999.0,85925299222.0,-13353043223.0,6864753685.0
